"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,
County,,,,
GeoFips,GeoName,LineCode,Description,2021
40001,"Adair, OK",1,Personal income (thousands of dollars),790537
40001,"Adair, OK",2,Population (persons) 1,19442
40001,"Adair, OK",3,Per capita personal income (dollars) 2,40661
40003,"Alfalfa, OK",1,Personal income (thousands of dollars),248867
40003,"Alfalfa, OK",2,Population (persons) 1,5695
40003,"Alfalfa, OK",3,Per capita personal income (dollars) 2,43699
40005,"Atoka, OK",1,Personal income (thousands of dollars),515177
40005,"Atoka, OK",2,Population (persons) 1,14294
40005,"Atoka, OK",3,Per capita personal income (dollars) 2,36041
40007,"Beaver, OK",1,Personal income (thousands of dollars),343770
40007,"Beaver, OK",2,Population (persons) 1,4994
40007,"Beaver, OK",3,Per capita personal income (dollars) 2,68837
40009,"Beckham, OK",1,Personal income (thousands of dollars),860722
40009,"Beckham, OK",2,Population (persons) 1,22032
40009,"Beckham, OK",3,Per capita personal income (dollars) 2,39067
40011,"Blaine, OK",1,Personal income (thousands of dollars),417492
40011,"Blaine, OK",2,Population (persons) 1,8547
40011,"Blaine, OK",3,Per capita personal income (dollars) 2,48847
40013,"Bryan, OK",1,Personal income (thousands of dollars),2095217
40013,"Bryan, OK",2,Population (persons) 1,47126
40013,"Bryan, OK",3,Per capita personal income (dollars) 2,44460
40015,"Caddo, OK",1,Personal income (thousands of dollars),1194127
40015,"Caddo, OK",2,Population (persons) 1,26461
40015,"Caddo, OK",3,Per capita personal income (dollars) 2,45128
40017,"Canadian, OK",1,Personal income (thousands of dollars),8370537
40017,"Canadian, OK",2,Population (persons) 1,161999
40017,"Canadian, OK",3,Per capita personal income (dollars) 2,51670
40019,"Carter, OK",1,Personal income (thousands of dollars),2359433
40019,"Carter, OK",2,Population (persons) 1,48254
40019,"Carter, OK",3,Per capita personal income (dollars) 2,48896
40021,"Cherokee, OK",1,Personal income (thousands of dollars),1979122
40021,"Cherokee, OK",2,Population (persons) 1,47659
40021,"Cherokee, OK",3,Per capita personal income (dollars) 2,41527
40023,"Choctaw, OK",1,Personal income (thousands of dollars),589633
40023,"Choctaw, OK",2,Population (persons) 1,14363
