CAGDP1 County and MSA gross domestic product (GDP) summary,,,,,,,,,,
CAGDP1 County and MSA gross domestic product (GDP) summary,,,,,,,,,,
County,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2017,2018,2019,2020,2021,2022,2023
40001,"Adair, OK",1,Real GDP (thousands of chained 2017 dollars),444597,475727,441199,395223,433663,445305,436259
40001,"Adair, OK",2,Chain-type quantity indexes for real GDP,100,107.002,99.236,88.895,97.541,100.159,98.124
40001,"Adair, OK",3,Current-dollar GDP (thousands of current dollars),444597,481142,457374,423568,489083,548167,558453
40003,"Alfalfa, OK",1,Real GDP (thousands of chained 2017 dollars),674017,478697,442362,461427,394111,333510,394683
40003,"Alfalfa, OK",2,Chain-type quantity indexes for real GDP,100,71.022,65.631,68.459,58.472,49.481,58.557
40003,"Alfalfa, OK",3,Current-dollar GDP (thousands of current dollars),674017,564822,427895,328368,503749,638200,507771
40005,"Atoka, OK",1,Real GDP (thousands of chained 2017 dollars),367272,368604,371258,370282,354289,340853,350190
40005,"Atoka, OK",2,Chain-type quantity indexes for real GDP,100,100.363,101.085,100.819,96.465,92.807,95.349
40005,"Atoka, OK",3,Current-dollar GDP (thousands of current dollars),367272,381521,382464,376438,402071,436313,442134
40007,"Beaver, OK",1,Real GDP (thousands of chained 2017 dollars),422420,418493,424144,378760,424235,400711,437773
40007,"Beaver, OK",2,Chain-type quantity indexes for real GDP,100,99.07,100.408,89.664,100.43,94.861,103.635
40007,"Beaver, OK",3,Current-dollar GDP (thousands of current dollars),422420,435119,422039,346675,510273,609542,579938
40009,"Beckham, OK",1,Real GDP (thousands of chained 2017 dollars),1191142,1277796,1146760,947484,944116,932874,1065562
40009,"Beckham, OK",2,Chain-type quantity indexes for real GDP,100,107.275,96.274,79.544,79.261,78.318,89.457
40009,"Beckham, OK",3,Current-dollar GDP (thousands of current dollars),1191142,1303748,1157832,911296,998501,1150536,1220403
40011,"Blaine, OK",1,Real GDP (thousands of chained 2017 dollars),1418531,1072914,1492042,1664549,1267135,1237859,1574103
40011,"Blaine, OK",2,Chain-type quantity indexes for real GDP,100,75.636,105.182,117.343,89.327,87.263,110.967
40011,"Blaine, OK",3,Current-dollar GDP (thousands of current dollars),1418531,1269962,1411824,1045063,1664705,2604638,1966600
40013,"Bryan, OK",1,Real GDP (thousands of chained 2017 dollars),1577237,1593342,1692862,1782021,1830467,1959713,2057724
40013,"Bryan, OK",2,Chain-type quantity indexes for real GDP,100,101.021,107.331,112.984,116.055,124.25,130.464
40013,"Bryan, OK",3,Current-dollar GDP (thousands of current dollars),1577237,1631445,1772797,1932060,2060566,2336932,2560818
40015,"Caddo, OK",1,Real GDP (thousands of chained 2017 dollars),983867,964169,1008698,958890,954201,913957,1045101
40015,"Caddo, OK",2,Chain-type quantity indexes for real GDP,100,97.998,102.524,97.461,96.985,92.894,106.224
40015,"Caddo, OK",3,Current-dollar GDP (thousands of current dollars),983867,1023025,1021433,899388,1111977,1295348,1286750
40017,"Canadian, OK",1,Real GDP (thousands of chained 2017 dollars),5165129,5761824,6204090,5708978,5786641,5995676,6930508
40017,"Canadian, OK",2,Chain-type quantity indexes for real GDP,100,111.552,120.115,110.529,112.033,116.08,134.179
40017,"Canadian, OK",3,Current-dollar GDP (thousands of current dollars),5165129,6105365,6167306,5053414,6573348,8590534,8285002
40019,"Carter, OK",1,Real GDP (thousands of chained 2017 dollars),2795529,2690223,2938766,2674239,2596901,2533629,3029955
40019,"Carter, OK",2,Chain-type quantity indexes for real GDP,100,96.233,105.124,95.661,92.895,90.631,108.386
40019,"Carter, OK",3,Current-dollar GDP (thousands of current dollars),2795529,2879896,3008080,2521050,2980793,3613979,3724354
40021,"Cherokee, OK",1,Real GDP (thousands of chained 2017 dollars),1202147,1216915,1248513,1288523,1374290,1400113,1429338
40021,"Cherokee, OK",2,Chain-type quantity indexes for real GDP,100,101.229,103.857,107.185,114.32,116.468,118.899
40021,"Cherokee, OK",3,Current-dollar GDP (thousands of current dollars),1202147,1247432,1311094,1412143,1558090,1658676,1759044
40023,"Choctaw, OK",1,Real GDP (thousands of chained 2017 dollars),457396,405163,365273,347837,407288,402326,425826
40023,"Choctaw, OK",2,Chain-type quantity indexes for real GDP,100,88.58,79.859,76.047,89.045,87.96,93.098
40023,"Choctaw, OK",3,Current-dollar GDP (thousands of current dollars),457396,417028,386215,378169,467968,494886,542039
40025,"Cimarron, OK",1,Real GDP (thousands of chained 2017 dollars),236092,214734,207432,181153,177818,181712,259069
40025,"Cimarron, OK",2,Chain-type quantity indexes for real GDP,100,90.954,87.861,76.73,75.317,76.967,109.733
40025,"Cimarron, OK",3,Current-dollar GDP (thousands of current dollars),236092,210822,200720,171637,217276,280281,362803
40027,"Cleveland, OK",1,Real GDP (thousands of chained 2017 dollars),8251828,8404572,8495475,8654502,9110974,9348672,9696907
40027,"Cleveland, OK",2,Chain-type quantity indexes for real GDP,100,101.851,102.953,104.88,110.412,113.292,117.512
40027,"Cleveland, OK",3,Current-dollar GDP (thousands of current dollars),8251828,8589085,8888805,9355024,10211106,11106202,12089800
40029,"Coal, OK",1,Real GDP (thousands of chained 2017 dollars),317803,261506,341589,303359,291221,256885,281850
40029,"Coal, OK",2,Chain-type quantity indexes for real GDP,100,82.286,107.484,95.455,91.636,80.831,88.687
40029,"Coal, OK",3,Current-dollar GDP (thousands of current dollars),317803,300680,328453,216842,371688,496452,361013
40031,"Comanche, OK",1,Real GDP (thousands of chained 2017 dollars),5055287,5003773,5116048,4994671,5207593,5168704,5258949
40031,"Comanche, OK",2,Chain-type quantity indexes for real GDP,100,98.981,101.202,98.801,103.013,102.244,104.029
40031,"Comanche, OK",3,Current-dollar GDP (thousands of current dollars),5055287,5122727,5349718,5345533,5788088,6180292,6627259
40033,"Cotton, OK",1,Real GDP (thousands of chained 2017 dollars),136703,139879,153897,142266,142199,162233,169506
40033,"Cotton, OK",2,Chain-type quantity indexes for real GDP,100,102.323,112.578,104.07,104.021,118.676,123.996
40033,"Cotton, OK",3,Current-dollar GDP (thousands of current dollars),136703,143586,160601,151860,161986,198448,211034
40035,"Craig, OK",1,Real GDP (thousands of chained 2017 dollars),469879,477125,476171,438270,437866,444144,465278
40035,"Craig, OK",2,Chain-type quantity indexes for real GDP,100,101.542,101.339,93.273,93.187,94.523,99.021
40035,"Craig, OK",3,Current-dollar GDP (thousands of current dollars),469879,486186,496254,469034,498905,544651,584265
40037,"Creek, OK",1,Real GDP (thousands of chained 2017 dollars),1915029,2020644,2101765,1953529,2058713,1980079,2153096
40037,"Creek, OK",2,Chain-type quantity indexes for real GDP,100,105.515,109.751,102.01,107.503,103.397,112.432
40037,"Creek, OK",3,Current-dollar GDP (thousands of current dollars),1915029,2091903,2197814,2038833,2313472,2488351,2741552
40039,"Custer, OK",1,Real GDP (thousands of chained 2017 dollars),1442536,1536142,1707142,1518378,1502052,1533849,1707889
40039,"Custer, OK",2,Chain-type quantity indexes for real GDP,100,106.489,118.343,105.258,104.126,106.33,118.395
40039,"Custer, OK",3,Current-dollar GDP (thousands of current dollars),1442536,1613124,1710573,1378210,1708219,2149271,2083071
40041,"Delaware, OK",1,Real GDP (thousands of chained 2017 dollars),944803,954283,934591,833870,893210,1004743,1028925
40041,"Delaware, OK",2,Chain-type quantity indexes for real GDP,100,101.003,98.919,88.259,94.539,106.344,108.904
40041,"Delaware, OK",3,Current-dollar GDP (thousands of current dollars),944803,966690,965969,885669,1006119,1239172,1306384
40043,"Dewey, OK",1,Real GDP (thousands of chained 2017 dollars),564255,674231,811369,624230,576178,598892,742089
40043,"Dewey, OK",2,Chain-type quantity indexes for real GDP,100,119.491,143.795,110.629,102.113,106.139,131.517
40043,"Dewey, OK",3,Current-dollar GDP (thousands of current dollars),564255,770929,773367,452900,659066,972440,871156
40045,"Ellis, OK",1,Real GDP (thousands of chained 2017 dollars),499975,538264,678011,588129,498177,503210,863228
40045,"Ellis, OK",2,Chain-type quantity indexes for real GDP,100,107.658,135.609,117.632,99.64,100.647,172.654
40045,"Ellis, OK",3,Current-dollar GDP (thousands of current dollars),499975,613974,636594,403132,604579,907442,1019892
40047,"Garfield, OK",1,Real GDP (thousands of chained 2017 dollars),2849100,2805923,2843513,2678999,2950916,2892301,3088603
40047,"Garfield, OK",2,Chain-type quantity indexes for real GDP,100,98.485,99.804,94.03,103.574,101.516,108.406
40047,"Garfield, OK",3,Current-dollar GDP (thousands of current dollars),2849100,2901868,2931128,2727076,3271961,3538129,3804621
40049,"Garvin, OK",1,Real GDP (thousands of chained 2017 dollars),1417931,1584691,2021642,1841576,1726956,1559661,1836216
40049,"Garvin, OK",2,Chain-type quantity indexes for real GDP,100,111.761,142.577,129.878,121.794,109.996,129.5
40049,"Garvin, OK",3,Current-dollar GDP (thousands of current dollars),1417931,1768557,1972708,1423027,2017891,2562662,2200422
40051,"Grady, OK",1,Real GDP (thousands of chained 2017 dollars),2382328,2670047,3124167,3002719,2857652,3281442,4009684
40051,"Grady, OK",2,Chain-type quantity indexes for real GDP,100,112.077,131.139,126.041,119.952,137.741,168.309
40051,"Grady, OK",3,Current-dollar GDP (thousands of current dollars),2382328,3007144,3000392,2226385,3460655,5828545,4752631
40053,"Grant, OK",1,Real GDP (thousands of chained 2017 dollars),294611,252291,297106,290364,279832,272139,302953
40053,"Grant, OK",2,Chain-type quantity indexes for real GDP,100,85.635,100.847,98.558,94.983,92.372,102.832
40053,"Grant, OK",3,Current-dollar GDP (thousands of current dollars),294611,271210,301612,271979,315028,369761,378245
40055,"Greer, OK",1,Real GDP (thousands of chained 2017 dollars),98592,97760,97318,94704,90855,99860,105825
40055,"Greer, OK",2,Chain-type quantity indexes for real GDP,100,99.156,98.708,96.057,92.152,101.286,107.336
40055,"Greer, OK",3,Current-dollar GDP (thousands of current dollars),98592,99757,101329,101842,105390,126999,135108
40057,"Harmon, OK",1,Real GDP (thousands of chained 2017 dollars),79360,71209,82988,76012,76708,95401,107354
40057,"Harmon, OK",2,Chain-type quantity indexes for real GDP,100,89.729,104.571,95.781,96.658,120.213,135.275
40057,"Harmon, OK",3,Current-dollar GDP (thousands of current dollars),79360,71945,85090,79083,88172,125263,136260
40059,"Harper, OK",1,Real GDP (thousands of chained 2017 dollars),275843,283526,255980,210853,196192,192136,232575
40059,"Harper, OK",2,Chain-type quantity indexes for real GDP,100,102.785,92.799,76.439,71.124,69.654,84.314
40059,"Harper, OK",3,Current-dollar GDP (thousands of current dollars),275843,284987,248283,192005,240604,302956,317711
40061,"Haskell, OK",1,Real GDP (thousands of chained 2017 dollars),359522,350085,348288,322117,344171,348974,364524
40061,"Haskell, OK",2,Chain-type quantity indexes for real GDP,100,97.375,96.875,89.596,95.73,97.066,101.391
40061,"Haskell, OK",3,Current-dollar GDP (thousands of current dollars),359522,356401,354270,322777,398298,471439,470261
40063,"Hughes, OK",1,Real GDP (thousands of chained 2017 dollars),718775,760038,879697,730460,821480,690059,688541
40063,"Hughes, OK",2,Chain-type quantity indexes for real GDP,100,105.741,122.388,101.626,114.289,96.005,95.794
40063,"Hughes, OK",3,Current-dollar GDP (thousands of current dollars),718775,809294,833913,573335,1024159,1224257,906152
40065,"Jackson, OK",1,Real GDP (thousands of chained 2017 dollars),1037503,1012174,1068003,1056806,1101465,1165304,1183034
40065,"Jackson, OK",2,Chain-type quantity indexes for real GDP,100,97.559,102.94,101.861,106.165,112.318,114.027
40065,"Jackson, OK",3,Current-dollar GDP (thousands of current dollars),1037503,1037344,1120323,1141922,1240257,1398403,1473951
40067,"Jefferson, OK",1,Real GDP (thousands of chained 2017 dollars),123191,127299,123256,123320,104694,118108,128845
40067,"Jefferson, OK",2,Chain-type quantity indexes for real GDP,100,103.335,100.053,100.105,84.985,95.874,104.59
40067,"Jefferson, OK",3,Current-dollar GDP (thousands of current dollars),123191,130708,125417,124204,117370,148168,156586
40069,"Johnston, OK",1,Real GDP (thousands of chained 2017 dollars),425043,469210,475014,466237,449573,480965,544868
40069,"Johnston, OK",2,Chain-type quantity indexes for real GDP,100,110.391,111.757,109.692,105.771,113.157,128.191
40069,"Johnston, OK",3,Current-dollar GDP (thousands of current dollars),425043,487524,484700,462064,504732,620250,665407
40071,"Kay, OK",1,Real GDP (thousands of chained 2017 dollars),1812598,1805469,1815808,1791597,1863576,1869539,1882932
40071,"Kay, OK",2,Chain-type quantity indexes for real GDP,100,99.607,100.177,98.841,102.812,103.141,103.88
40071,"Kay, OK",3,Current-dollar GDP (thousands of current dollars),1812598,1843853,1880936,1876574,2065683,2245329,2317111
40073,"Kingfisher, OK",1,Real GDP (thousands of chained 2017 dollars),2160955,1830152,3041233,2912209,2327061,2534870,2945349
40073,"Kingfisher, OK",2,Chain-type quantity indexes for real GDP,100,84.692,140.736,134.765,107.687,117.303,136.298
40073,"Kingfisher, OK",3,Current-dollar GDP (thousands of current dollars),2160955,2092162,2883008,1946903,2743208,4458287,3333078
40075,"Kiowa, OK",1,Real GDP (thousands of chained 2017 dollars),249184,218831,245080,247259,240929,247175,225878
40075,"Kiowa, OK",2,Chain-type quantity indexes for real GDP,100,87.819,98.353,99.227,96.687,99.194,90.647
40075,"Kiowa, OK",3,Current-dollar GDP (thousands of current dollars),249184,222555,253088,257789,283963,331643,299789
