State,Lat,Lon,GHCN_ID,City/Station Name,County,Elev,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,6-Feb,7-Feb,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb
AL,31.04,-87.74,US1ALBW0059,BAY MINETTE 10.9 N,BALDWIN,297,M,0,M,0,M,M,M,0,M,0,M,M,M,M,0,M,0,M,0,0,0,M,0,0,0,0,M,M
AL,31.04,-87.74,US1ALBW0088,BAY MINETTE 11.0 N,BALDWIN,245,M,0,0,0,M,M,M,0,M,0,M,M,M,M,0,M,0,M,M,0,0,M,0,0,0,0,M,M
AL,30.98,-87.76,US1ALBW0071,BAY MINETTE 7.0 N,BALDWIN,226,0,0,0,0,M,M,M,0,M,0,M,M,M,0,0,M,0,M,0,0,0,M,0,0,0,0,0,M
AL,30.62,-87.9,US1ALBW0004,DAPHNE 0.4 SW,BALDWIN,144,M,0,0,0,M,M,M,0,M,M,M,M,M,0,0,M,0,M,M,0,0,M,0,0,0,0,0,M
AL,30.64,-87.91,US1ALBW0003,DAPHNE 1.2 NNW,BALDWIN,158,M,0,0,0,M,M,M,0,M,M,M,M,M,0,0,M,0,M,0,0,0,M,0,0,0,0,0,M
AL,30.61,-87.91,US1ALBW0060,DAPHNE 1.5 SSW,BALDWIN,117,M,0,0,0,M,M,M,0,M,0,M,M,M,0,0,M,0,M,0,0,0,M,0,0,0,0,0,M
AL,30.68,-87.86,US1ALBW0036,DAPHNE 4.2 NE,BALDWIN,216,M,0,M,0,M,M,M,M,M,M,M,M,M,M,0,M,0,M,M,M,0,M,0,0,0,0,M,M
AL,30.57,-87.84,US1ALBW0079,DAPHNE 4.9 SE,BALDWIN,132,0,0,0,0,M,M,M,0,M,0,M,M,M,0,0,M,0,M,0,0,0,M,0,0,0,0,0,M
AL,30.42,-87.6,US1ALBW0089,ELBERTA 0.3 NE,BALDWIN,66,M,0,0,M,M,M,M,0,M,0,M,M,M,M,0,M,0,M,0,0,0,M,0,0,0,0,0,M
AL,30.36,-87.61,US1ALBW0096,ELBERTA 3.9 S,BALDWIN,6,0,0,0,0,M,M,M,0,M,M,M,M,M,0,M,0,0,M,0,0,0,M,0,0,0,0,M,0
AL,30.53,-87.89,US1ALBW0097,FAIRHOPE 1.4 NNW,BALDWIN,78,M,0,0,0,M,M,0,0,M,M,M,M,M,M,0,M,0,M,0,0,0,M,0,0,0,0,0,M
AL,30.51,-87.91,US1ALBW0040,FAIRHOPE 1.5 WSW,BALDWIN,44,M,0,0,0,M,M,M,0,M,M,M,M,M,0,0,M,0,M,M,0,0,M,0,0,0,0,0,M
AL,30.56,-87.9,US1ALBW0032,FAIRHOPE 3.1 NNW,BALDWIN,11,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,0,0,M,M,M,0,M,M,M
AL,30.57,-87.9,US1ALBW0013,FAIRHOPE 3.7 NNW,BALDWIN,114,M,0,0,0,M,M,M,0,M,M,M,M,M,M,0,M,0,M,0,0,0,M,0,0,0,0,0,M
AL,30.38,-87.7,US1ALBW0031,FOLEY 2.0 SSW,BALDWIN,66,M,0,0,0,0,M,M,0,M,0,M,M,M,0,0,M,0,M,0,0,0,M,0,0,0,0,0,M
AL,30.35,-87.63,US1ALBW0095,FOLEY 4.9 SE,BALDWIN,38,0,0,0,0,M,0,0,0,M,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M,M,M,M
AL,30.34,-87.78,US1ALBW0008,FOLEY 7.4 SW,BALDWIN,43,0,0,0,0,M,M,M,0,M,0,M,M,M,0,M,M,0,M,0,0,0,M,0,0,0,0,M,M
AL,30.25,-87.73,US1ALBW0094,GULF SHORES 2.3 SW,BALDWIN,10,0,0,0,0,M,M,M,0,M,0,M,M,M,0,0,M,0,M,0,0,0,M,0,0,M,0,0,0
AL,30.31,-87.69,US1ALBW0105,GULF SHORES 2.6 NNE,BALDWIN,30,M,0,0,0,M,M,M,0,M,M,M,M,M,0,0,M,0,M,0,0,0,M,0,0,0,0,0,M
AL,30.31,-87.71,US1ALBW0066,GULF SHORES 3.1 N,BALDWIN,4,M,M,M,M,M,M,M,M,M,0,M,M,M,M,0,M,0,M,0,0,0,M,M,M,M,M,M,M
AL,30.23,-87.78,US1ALBW0099,GULF SHORES 5.5 WSW,BALDWIN,7,0,0,0,0,M,M,0,0,M,M,0,M,M,0,M,0,0,M,0,0,0,M,0,0,0,0,0,M
AL,30.23,-87.81,US1ALBW0092,GULF SHORES 7.1 WSW,BALDWIN,14,0,0,0,0,M,M,M,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M,0,0,M,M,M
AL,30.27,-87.68,US1ALBW0104,LEARNING CAMPUS-GULF SHORES 1.3 E,BALDWIN,33,M,0,M,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,0,0,M,M
AL,30.62,-87.76,US1ALBW0026,LOXLEY 0.4 SSW,BALDWIN,197,M,0,0,0,M,M,M,M,M,M,M,M,M,M,0,M,T,M,M,0,0,M,0,0,0,0,0,M
AL,30.26,-87.64,US1ALBW0103,NATURE CENTER-GULF SHORES 3.6 E,BALDWIN,23,M,M,0,0,M,M,M,M,M,0,M,M,M,M,M,M,M,M,0,0,0,M,0,0,0,M,0,M
AL,30.48,-87.91,US1ALBW0086,POINT CLEAR 0.6 SW,BALDWIN,25,M,0,0,0,M,M,M,0,M,M,M,M,M,0,0,M,0,M,M,0,0,M,M,0,0,0,0,M
